[2025-02-13 20:29:29] Blackboard server started. PID: 19319
[2025-02-13 20:29:45] Big brother Watchdog process is watching. PID: 19323
[2025-02-13 20:29:45] Dynamics started. PID: 19321
[2025-02-13 20:29:45] Obstacle and Target subscriber started. PID: 19324
[2025-02-13 20:29:45] Window process started. PID: 19358
[2025-02-13 20:29:45] Keyboard process started. PID: 19377
[2025-02-13 20:29:48] Watchdog received: HB from /tmp/blackboard_pipe
[2025-02-13 20:29:48] Watchdog received: HB from /tmp/dynamics_pipe
[2025-02-13 20:29:48] Watchdog received: HB from /tmp/keyboard_pipe
[2025-02-13 20:29:48] Watchdog received: HBHB from /tmp/obstacle_pipe
[2025-02-13 20:29:48] Watchdog received: HBHB from /tmp/target_pipe
[2025-02-13 20:29:50] Watchdog received: HBHB from /tmp/window_pipe
[2025-02-13 20:29:50] Watchdog received: HBHB from /tmp/obstacle_pipe
[2025-02-13 20:29:50] Watchdog received: HBHB from /tmp/target_pipe
[2025-02-13 20:29:52] Watchdog received: HBHB from /tmp/dynamics_pipe
[2025-02-13 20:29:52] Watchdog received: HBHB from /tmp/keyboard_pipe
[2025-02-13 20:29:52] Watchdog received: HBHB from /tmp/window_pipe
[2025-02-13 20:29:52] Watchdog received: HBHB from /tmp/obstacle_pipe
[2025-02-13 20:29:52] Watchdog received: HBHB from /tmp/target_pipe
[2025-02-13 20:29:54] Watchdog received: HBHB from /tmp/blackboard_pipe
[2025-02-13 20:29:54] Watchdog received: HBHB from /tmp/dynamics_pipe
[2025-02-13 20:29:54] Watchdog received: HBHB from /tmp/keyboard_pipe
[2025-02-13 20:29:54] Watchdog received: HBHB from /tmp/obstacle_pipe
[2025-02-13 20:29:54] Watchdog received: HBHB from /tmp/target_pipe
[2025-02-13 20:29:56] Watchdog received: HBHB from /tmp/window_pipe
[2025-02-13 20:29:56] Watchdog received: HBHB from /tmp/obstacle_pipe
[2025-02-13 20:29:56] Watchdog received: HBHB from /tmp/target_pipe
[2025-02-13 20:29:58] Watchdog received: HBHB from /tmp/blackboard_pipe
[2025-02-13 20:29:58] Watchdog received: HBHB from /tmp/dynamics_pipe
[2025-02-13 20:29:58] Watchdog received: HBHB from /tmp/keyboard_pipe
[2025-02-13 20:29:58] Watchdog received: HBHB from /tmp/window_pipe
[2025-02-13 20:29:58] Watchdog received: HBHB from /tmp/obstacle_pipe
[2025-02-13 20:29:58] Watchdog received: HBHB from /tmp/target_pipe
[2025-02-13 20:30:00] Watchdog received: HBHB from /tmp/dynamics_pipe
[2025-02-13 20:30:00] Watchdog received: HBHB from /tmp/keyboard_pipe
[2025-02-13 20:30:00] Watchdog received: HBHB from /tmp/window_pipe
[2025-02-13 20:30:00] Watchdog received: HBHB from /tmp/obstacle_pipe
[2025-02-13 20:30:00] Watchdog received: HBHB from /tmp/target_pipe
[2025-02-13 20:30:02] Watchdog received: HBHB from /tmp/obstacle_pipe
[2025-02-13 20:30:02] Watchdog received: HBHB from /tmp/target_pipe
[2025-02-13 20:30:04] Watchdog received: HBHB from /tmp/blackboard_pipe
[2025-02-13 20:30:04] Watchdog received: HBHB from /tmp/dynamics_pipe
[2025-02-13 20:30:04] Watchdog received: HBHB from /tmp/keyboard_pipe
[2025-02-13 20:30:04] Watchdog received: HBHB from /tmp/window_pipe
[2025-02-13 20:30:04] Watchdog received: HBHB from /tmp/obstacle_pipe
[2025-02-13 20:30:04] Watchdog received: HBHB from /tmp/target_pipe
[2025-02-13 20:30:06] Watchdog received: HBHB from /tmp/dynamics_pipe
[2025-02-13 20:30:06] Watchdog received: HBHB from /tmp/keyboard_pipe
[2025-02-13 20:30:06] Watchdog received: HBHB from /tmp/window_pipe
[2025-02-13 20:30:06] Watchdog received: HBHB from /tmp/obstacle_pipe
[2025-02-13 20:30:06] Watchdog received: HBHB from /tmp/target_pipe
[2025-02-13 20:30:07] Starting publisher... NOW
[2025-02-13 20:30:08] Watchdog received: HBHB from /tmp/blackboard_pipe
[2025-02-13 20:30:08] Watchdog received: HBHB from /tmp/obstacle_pipe
[2025-02-13 20:30:08] Watchdog received: HBHB from /tmp/target_pipe
